               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032161,             0.01652,           0.0013693,             0.69125,             0.68642,             0.70351,             0.42271,            0.031577,            0.010046,           0.0039507,            0.006535,            0.006535,            0.006535
                  37,            0.031699,            0.016489,           0.0013409,              0.7549,             0.74347,             0.72934,             0.44148,            0.031038,             0.01002,           0.0040732,            0.006436,            0.006436,            0.006436
                  38,            0.031326,            0.016219,           0.0013725,             0.73311,             0.71332,             0.72902,             0.44787,            0.031658,            0.010433,            0.004484,            0.006337,            0.006337,            0.006337
                  39,            0.031206,            0.016091,           0.0013581,             0.68856,             0.73591,             0.72638,             0.45025,            0.031157,            0.010274,           0.0043651,            0.006238,            0.006238,            0.006238
                  40,            0.031166,            0.016363,           0.0016525,             0.67325,             0.76037,             0.72229,             0.41332,            0.031076,            0.010082,           0.0042764,            0.006139,            0.006139,            0.006139
                  41,            0.030814,             0.01623,            0.001463,             0.72117,             0.73592,             0.67914,             0.41683,            0.031595,            0.010313,           0.0044635,             0.00604,             0.00604,             0.00604
                  42,            0.030468,            0.015723,           0.0013921,             0.71827,             0.72993,              0.7063,             0.42388,             0.03089,            0.010174,           0.0044869,            0.005941,            0.005941,            0.005941
                  43,            0.030247,            0.015634,           0.0013691,             0.70346,             0.59507,             0.66482,             0.38968,            0.031693,            0.010298,           0.0052803,            0.005842,            0.005842,            0.005842
                  44,            0.030407,            0.015495,           0.0013822,             0.60431,             0.74782,             0.67195,             0.39097,            0.033062,            0.010424,           0.0046111,            0.005743,            0.005743,            0.005743
                  45,             0.03048,            0.015701,           0.0013676,             0.75907,             0.75369,             0.75193,             0.43268,            0.031287,            0.010222,           0.0041749,            0.005644,            0.005644,            0.005644
                  46,            0.029991,            0.015395,           0.0012348,              0.6571,             0.58835,              0.6263,             0.36714,            0.032586,            0.011247,           0.0046804,            0.005545,            0.005545,            0.005545
                  47,            0.029617,            0.015142,           0.0012879,             0.65878,             0.68774,              0.6732,             0.41021,            0.031072,            0.010455,           0.0046792,            0.005446,            0.005446,            0.005446
                  48,            0.029486,            0.015231,           0.0012196,             0.63871,             0.75473,             0.69343,              0.4005,            0.032044,            0.010563,           0.0036806,            0.005347,            0.005347,            0.005347
                  49,            0.028902,             0.01511,           0.0010481,             0.68631,             0.76273,             0.71881,             0.42717,            0.031206,            0.010104,           0.0038534,            0.005248,            0.005248,            0.005248
                  50,            0.029059,            0.015365,           0.0012542,             0.69696,             0.75498,             0.71634,              0.4058,            0.031562,            0.010241,           0.0041931,            0.005149,            0.005149,            0.005149
                  51,            0.028962,            0.015037,           0.0011125,             0.69745,             0.75397,             0.72301,             0.42663,            0.030646,            0.010163,           0.0042893,             0.00505,             0.00505,             0.00505
                  52,            0.028451,            0.014941,           0.0011661,             0.65235,             0.69932,              0.7108,             0.40433,             0.03082,            0.010334,           0.0045464,            0.004951,            0.004951,            0.004951
                  53,            0.028519,            0.014691,           0.0012408,             0.71173,             0.74468,             0.71499,             0.43295,            0.031387,            0.010342,           0.0042727,            0.004852,            0.004852,            0.004852
                  54,            0.028587,            0.015029,           0.0012191,             0.68383,             0.74981,             0.74029,              0.4482,            0.031067,            0.010569,           0.0043194,            0.004753,            0.004753,            0.004753
                  55,            0.028299,            0.014526,           0.0011902,             0.70275,              0.8002,             0.73876,             0.41958,            0.031352,            0.010493,           0.0044161,            0.004654,            0.004654,            0.004654
                  56,             0.02774,            0.014444,           0.0011936,             0.75172,             0.71585,             0.70021,             0.43157,            0.031536,            0.010638,           0.0042501,            0.004555,            0.004555,            0.004555
                  57,            0.027962,            0.014487,           0.0011262,             0.71011,             0.76029,             0.73838,             0.42211,            0.031406,            0.010579,           0.0040807,            0.004456,            0.004456,            0.004456
                  58,            0.027801,            0.014177,           0.0010359,             0.70475,             0.79413,              0.7424,             0.44404,            0.030871,            0.010561,           0.0042911,            0.004357,            0.004357,            0.004357
                  59,            0.027606,            0.014565,           0.0011528,             0.77221,             0.77611,             0.73106,             0.43248,            0.031358,            0.010928,            0.004204,            0.004258,            0.004258,            0.004258
                  60,            0.026907,            0.014361,           0.0010878,             0.80619,             0.72082,             0.73446,             0.43543,            0.031438,            0.010553,           0.0040317,            0.004159,            0.004159,            0.004159
                  61,             0.02688,            0.014375,          0.00099548,             0.66885,             0.68202,             0.72265,             0.42349,            0.031423,            0.010712,           0.0045902,             0.00406,             0.00406,             0.00406
                  62,            0.026982,             0.01372,           0.0011177,              0.6067,             0.71348,             0.77372,             0.45258,            0.031598,            0.010691,            0.004765,            0.003961,            0.003961,            0.003961
                  63,            0.026676,            0.014199,           0.0011296,             0.75726,             0.74085,             0.73397,             0.42966,            0.031112,            0.010564,           0.0044131,            0.003862,            0.003862,            0.003862
                  64,            0.026398,            0.013957,            0.000759,             0.71254,             0.74749,             0.72655,             0.41032,            0.031635,            0.010599,           0.0042804,            0.003763,            0.003763,            0.003763
                  65,            0.026115,            0.013761,          0.00088116,             0.74377,             0.74099,             0.72416,             0.41563,            0.031472,            0.011001,           0.0042637,            0.003664,            0.003664,            0.003664
                  66,            0.025661,            0.013852,            0.000861,             0.70081,             0.69033,             0.69164,             0.40465,            0.031754,            0.010914,           0.0048877,            0.003565,            0.003565,            0.003565
                  67,            0.026113,            0.013674,          0.00080542,             0.70271,             0.74672,             0.71852,             0.40888,            0.031697,            0.011037,           0.0045832,            0.003466,            0.003466,            0.003466
                  68,            0.025802,            0.013786,           0.0009198,             0.67806,             0.75176,             0.72475,              0.4117,            0.031873,            0.010799,           0.0048703,            0.003367,            0.003367,            0.003367
                  69,            0.025721,             0.01381,          0.00088547,             0.63255,             0.80423,             0.72881,             0.43539,            0.031613,            0.010816,           0.0044043,            0.003268,            0.003268,            0.003268
                  70,            0.025156,             0.01361,          0.00072323,              0.6907,             0.75158,             0.73745,             0.45622,            0.031333,            0.010881,           0.0042665,            0.003169,            0.003169,            0.003169
                  71,            0.024871,            0.013452,          0.00080181,             0.72482,              0.7849,             0.72969,             0.43262,            0.031328,            0.011127,           0.0042886,             0.00307,             0.00307,             0.00307
                  72,            0.025308,            0.013372,          0.00081193,             0.72684,              0.8073,             0.73398,             0.44201,            0.031787,            0.011125,           0.0041638,            0.002971,            0.002971,            0.002971
                  73,            0.024845,            0.013472,          0.00079422,              0.6524,             0.75163,             0.69574,             0.42254,            0.031819,            0.011194,           0.0045598,            0.002872,            0.002872,            0.002872
                  74,            0.025002,            0.013362,          0.00084142,              0.6921,             0.79784,              0.7213,             0.42429,            0.031682,            0.011618,            0.004631,            0.002773,            0.002773,            0.002773
                  75,            0.024541,            0.013303,          0.00063515,             0.76465,             0.76355,             0.73299,             0.43987,            0.031488,            0.011092,           0.0044902,            0.002674,            0.002674,            0.002674
                  76,            0.024213,            0.013314,          0.00085064,             0.73497,              0.6493,             0.67777,             0.41835,            0.031385,            0.011333,           0.0045868,            0.002575,            0.002575,            0.002575
                  77,            0.024082,            0.013006,            0.000795,             0.73169,             0.72779,               0.711,             0.43145,            0.031532,            0.011567,           0.0045045,            0.002476,            0.002476,            0.002476
                  78,            0.024006,            0.012912,          0.00071613,             0.72232,             0.72582,             0.71028,             0.42668,            0.031404,            0.011651,           0.0047064,            0.002377,            0.002377,            0.002377
                  79,            0.023615,            0.012865,          0.00062901,             0.74853,             0.78924,             0.72945,             0.42843,            0.031558,            0.011383,           0.0046118,            0.002278,            0.002278,            0.002278
                  80,             0.02411,            0.013149,          0.00079004,             0.72511,             0.80738,             0.73246,             0.42772,            0.031513,            0.011473,           0.0043955,            0.002179,            0.002179,            0.002179
                  81,            0.023805,             0.01291,          0.00081803,             0.67827,             0.80651,             0.71159,             0.42282,            0.031372,            0.011499,           0.0044982,             0.00208,             0.00208,             0.00208
                  82,            0.023351,            0.012811,          0.00062041,              0.7354,             0.80652,             0.73373,             0.42596,            0.031668,            0.011358,           0.0045111,            0.001981,            0.001981,            0.001981
                  83,            0.023235,            0.012969,          0.00078314,             0.69125,             0.75263,              0.7018,             0.41249,            0.030954,            0.011331,            0.004918,            0.001882,            0.001882,            0.001882
                  84,            0.023122,            0.012447,          0.00069648,             0.75533,             0.79015,             0.73599,             0.43001,            0.031299,             0.01159,           0.0046396,            0.001783,            0.001783,            0.001783
                  85,            0.023011,            0.012199,          0.00071851,             0.73365,             0.77489,             0.73529,             0.43388,            0.031276,             0.01157,           0.0046512,            0.001684,            0.001684,            0.001684
                  86,            0.022917,            0.012475,          0.00069643,             0.69368,             0.73663,             0.73311,             0.42273,            0.031379,            0.011626,           0.0051969,            0.001585,            0.001585,            0.001585
                  87,            0.022634,            0.012663,          0.00058084,             0.69823,              0.7472,             0.73557,             0.42536,             0.03146,            0.011604,           0.0053083,            0.001486,            0.001486,            0.001486
                  88,            0.022476,            0.012426,          0.00066832,             0.69086,             0.75114,             0.73239,             0.42167,            0.031949,            0.011751,            0.005036,            0.001387,            0.001387,            0.001387
                  89,            0.022547,            0.012177,          0.00055357,              0.6855,             0.82418,             0.73441,             0.42098,            0.031751,            0.011779,           0.0047684,            0.001288,            0.001288,            0.001288
                  90,            0.022144,            0.012284,          0.00058594,             0.67181,             0.82016,              0.7348,             0.42349,            0.031865,            0.011748,           0.0046732,            0.001189,            0.001189,            0.001189
                  91,            0.021964,            0.012123,          0.00053714,              0.6994,              0.7386,             0.73608,             0.42426,            0.031703,            0.011703,           0.0046018,             0.00109,             0.00109,             0.00109
                  92,            0.021787,            0.011846,          0.00056018,              0.7365,             0.73369,             0.72168,             0.42341,            0.031769,            0.011807,           0.0046559,            0.000991,            0.000991,            0.000991
                  93,            0.022007,            0.012407,          0.00075689,             0.74834,             0.74391,             0.72659,             0.42755,            0.031663,            0.011737,           0.0045145,            0.000892,            0.000892,            0.000892
                  94,            0.021533,            0.011725,          0.00053566,             0.71462,             0.77632,             0.73317,              0.4317,            0.031582,            0.011824,           0.0045713,            0.000793,            0.000793,            0.000793
                  95,            0.021495,            0.011899,          0.00065297,             0.70534,             0.74097,             0.71315,             0.41532,            0.031548,            0.011732,           0.0046418,            0.000694,            0.000694,            0.000694
                  96,            0.021551,            0.011843,          0.00053481,             0.69022,             0.75434,             0.74609,             0.43312,            0.031584,            0.011768,           0.0045305,            0.000595,            0.000595,            0.000595
                  97,            0.021243,             0.01197,          0.00065827,             0.69308,             0.80592,             0.73442,             0.43399,            0.031585,            0.012163,           0.0045687,            0.000496,            0.000496,            0.000496
                  98,            0.021137,            0.011684,          0.00053641,             0.68986,             0.80578,             0.73483,             0.43149,            0.031679,            0.012133,           0.0044994,            0.000397,            0.000397,            0.000397
                  99,            0.021141,            0.011692,            0.000595,             0.69821,             0.79494,             0.73347,             0.43559,            0.031519,            0.012197,           0.0044624,            0.000298,            0.000298,            0.000298
